307DK9nGQhw,64.097367,73.006267,0.327604,0.17963
5qy9Ujv9XdM,61.494767,65.331933,0.557813,0.392593
UBL2Vowiulk,30.113422,33.616922,0.725,0.393056
LcyrfLT2tto,95.5985,98.5985,0.471094,0.409722
sujFCXbYkMo,30,34.466667,0.528906,0.477778
R0u9E8GsUXk,114.466667,118.166667,0.879687,0.829167
bNxD_breZy8,198.734,201.734,0.539062,0.240278
AQDWwktBhaw,30.03,40.807433,0.469531,0.293056
Dtn8xZ3BiGY,114.31,119.828,0.489063,0.316667
Cy9SUMj5wGY,16.133333,30,0.789062,0.598611
Uu1xVo0CF5o,106.5064,119.986533,0.552604,0.285185
WfpZPDqNNg0,260.433,269.999,0.723958,0.248148
G7xm-5aDZyg,114.52,120,0.486458,0.234259
jdshBkVfjrA,293.852,299.975,0.433594,0.476389
3gcWAZSNi2E,30.997633,38.204833,0.598958,0.317593
Wl3HSpsiIb4,229.646089,235.360122,0.627344,0.226389
yeqK6kqoIYk,221.2,227.68,0.306792,0.295833
YWgXhe7JYp4,144.602789,149.899756,0.835417,0.151852
ReXQGb2k3fo,11.166667,22.2,0.417187,0.429167
2RvWHWhyx1w,56.993267,59.993267,0.527344,0.375
AOoqrXx5BNU,164.3,177.267,0.541146,0.544444
_8K1hWkirLo,90,96.64,0.494271,0.300926
cPUBnjqIaXI,189.933333,195.466667,0.797656,0.443056
342Pxxa7n8Q,253.2,256.56,0.308854,0.371296
umcJyBaatBs,105.533333,119.466667,0.607031,0.408333
QYnLgIsR3bc,180.5804,184.150633,0.492969,0.277778
ohd_xOV6zW4,56.993,59.993,0.515104,0.469444
DxpQmBfA6vM,83.086,86.086,0.314583,0.442593
xwxbJkXRJHw,247.64,254.12,0.455469,0.201389
Gqt1A6O6UTk,66.3,69.366,0.759375,0.181944
YOySUCOJUtQ,127.994533,141.107633,0.566406,0.240278
ft3fl0x3gFo,232.966,240,0.520312,0.445833
7DBdAnTuw5c,61.394667,66.524789,0.503125,0.242593
ibPOxQ7XYPk,30.16,37.44,0.478125,0.263889
ausPEm5ZWQE,76.916667,90,0.39604,0.286111
a2iQ7kB5b6s,136.28,140.76,0.517188,0.446296
WddCvVatDlo,240,251.3,0.6375,0.558333
04BgTYq4Ckk,273.25,284.042,0.539844,0.452778
wBDD5wTG7P0,200.866,207.766,0.432031,0.201389
6LapKTptu8w,162.033,172.799,0.517188,0.216667
gX8qtrFaLs4,120.9238,123.9238,0.496354,0.306481
XXtkzCkzA64,106.92,119.92,0.608333,0.313889
TH0xt8XIvVs,120.007,134.352,0.549219,0.295833
H2VCPO0isFQ,31.489789,35.744044,0.817708,0.127778
aVP0dc3dvtA,143.41,149.984,0.485938,0.27963
